"2,650,000", Dubai, Business Bay,,3 Beds,3 Baths,"1,644 sqft",Apartment,For Sale,Bayut - SALE014816,,"February 9, 2023","February 3, 2023",,,,,,,https://www.bayut.com/property/details-6824848.html
"2,300,000", Dubai, Reem,Mira 4,3 Beds,4 Baths,"2,325 sqft",Villa,For Sale,Bayut - BST223203,,"February 15, 2023","February 7, 2023",,,,,,,https://www.bayut.com/property/details-6835196.html
"1,250,000", Abu Dhabi, Yas Island,,2 Beds,2 Baths,"1,080 sqft",Apartment,For Sale,Bayut - NAT-S-16171,Unfurnished,"January 2, 2023","December 27, 2022",,,,,,,https://www.bayut.com/property/details-6693137.html
"1,200,000", Dubai, Dubai Hills Estate,,1 Bed,1 Bath,488 sqft,Apartment,For Sale,Bayut - 3121-Ap-S-0302,Furnished,"February 14, 2023","February 2, 2023",,,,,,,https://www.bayut.com/property/details-6819111.html
"4,000,000", Dubai, The Springs,,3 Beds,4 Baths,"2,640 sqft",Villa,For Sale,Bayut - BHM-S-565707,Unfurnished,"February 6, 2023","February 1, 2023",,,,,,,https://www.bayut.com/property/details-6815441.html
"2,618,888", Dubai, Dubai Hills Estate,Executive Residences 2,2 Beds,2 Baths,"1,000 sqft",Apartment,For Sale,Bayut - ET-S-9782,Unfurnished,"February 10, 2023","February 7, 2023",,,,,,,https://www.bayut.com/property/details-6835176.html
"4,250,000", Dubai, Dubailand,,4 Beds,4 Baths,"5,950 sqft",Villa,For Sale,Bayut - 3082-Vl-S-0081,Unfurnished,"February 14, 2023","February 2, 2023",,,,,,,https://www.bayut.com/property/details-6820341.html
"950,000", Ajman,Al Zahya,,5 Beds,7 Baths,"3,014 sqft",Villa,For Sale,Bayut - 10317-ekYBeS,Unfurnished,"February 13, 2023","February 5, 2023",,,,,,,https://www.bayut.com/property/details-6828674.html
"1,250,000", Abu Dhabi, Al Reem Island,"Marina Heights II,  Marina Heights",2 Beds,3 Baths,"1,173 sqft",Apartment,For Sale,Bayut - MCS-1111,Unfurnished,"February 9, 2023","February 2, 2023",,,,,,,https://www.bayut.com/property/details-6818440.html
"1,200,000", Ajman,Al Yasmeen,,5 Beds,7 Baths,"3,230 sqft",Villa,For Sale,Bayut - 9421-QDnYKA,Unfurnished,"February 7, 2023","February 4, 2023",,,,,,,https://www.bayut.com/property/details-6828320.html
"1,650,000", Ajman,Al Alia,,5 Beds,7 Baths,"3,014 sqft",Villa,For Sale,Bayut - al2,Unfurnished,"February 8, 2023","February 4, 2023",,,,,,,https://www.bayut.com/property/details-6828069.html
"910,000", Ajman,Al Zahya,,5 Beds,7 Baths,"3,014 sqft",Villa,For Sale,Bayut - 7241-LJOcbW,Unfurnished,"February 7, 2023","February 5, 2023",,,,,,,https://www.bayut.com/property/details-6829898.html
"2,130,000", Dubai, Serena,,3 Beds,3 Baths,"2,272 sqft",Townhouse,For Sale,Bayut - TREO-S-16197,,"January 27, 2023","July 27, 2022",,,,,,,https://www.bayut.com/property/details-6177958.html
"1,200,000", Ajman,Al Yasmeen,,5 Beds,8 Baths,"3,400 sqft",Villa,For Sale,Bayut - 100458-ZRKmOo,Unfurnished,"February 13, 2023","February 7, 2023",,,,,,,https://www.bayut.com/property/details-6839705.html
"2,225,000", Dubai, Downtown Dubai,,3 Beds,4 Baths,"1,722 sqft",Apartment,For Sale,Bayut - 4491-Ap-S-0057,Furnished,"February 15, 2023","February 7, 2023",,,,,,,https://www.bayut.com/property/details-6836375.html
"755,000", Dubai, Jumeirah Village Circle (JVC),Pantheon Elysee,1 Bed,2 Baths,780 sqft,Apartment,For Sale,Bayut - L-205109,,"February 9, 2023","February 6, 2023",,,,,,,https://www.bayut.com/property/details-6832653.html
